ST|RATIO
MS|1.47049643618201
AZ|1.1088952430899
TN|1.47235786477421
CO|1.01204875702108
IN|1.49190965947879
MN|1.03587221689367
SD|1.36567799756872
CA|1.01297355105954
WA|1.07254315330755
SC|1.46939047431818
NE|1.31681588055564
NJ|0.869947394434212
KY|1.12429982770813
OH|1.53633268275305
IA|1.4238380788525
VA|1.06829424441664
FL|1.28857279175816
HI|0.758618389030583
IL|1.05141446580543
KS|1.06213123862226
LA|1.45652864858836
NH|1.23187972885547
MD|0.934373466243407
UT|0.971081844122766
ND|1.14129968815777
MI|1.33174455505798
NY|1.15487830486438
PA|1.55110706089484
ME|1.41795624500622
NC|1.1473812497438
TX|1.09268450153206
NV|1.23117570060873
VT|1.67623677274916
AR|1.22027923582271
MT|1.25123531926757
NM|1.35917024621336
DC|1.13590405199442
MA|1.06200317596629
CT|0.849987660908866
OK|1.3151427020827
AL|1.41172593844139
ID|1.53526955450649
OR|1.38686750653771
GA|1.23523464328722
WY|0.677866767224333
AK|1.17291925568242
WI|1.38583041716445
WV|1.61761530862048
MO|1.37731115099291
DE|1.14354650123815
RI|1.44985278920292
